,Community,Degree
2601380,149,5
2733057,256,0
2893721,149,6
2926753,257,2
35866526,257,2
39194273,149,2
48539382,149,4
144468149,149,2
145882798,149,1
145896397,149,4
1488659424,257,2
1596725015,257,4
2013947833,257,2
2109724368,149,3
1736849,258,4
2257917,258,2
3119182,258,2
3161078,258,2
1388759973,258,2
1737119,259,1
3401966,259,1
3196739,26,2
1738760,169,1
3056389,182,2
2086150907,182,2
1840275,260,3
2132653,261,1
2741728,260,3
2779753,262,0
3085163,260,3
8340288,261,1
26234127,260,3
38536548,263,0
1739497,264,0
2478310,9,7
2524172,9,5
143709703,9,14
145856934,9,14
1404333228,9,3
1405381835,9,2
1405381854,9,2
2140533,265,6
2530217,19,1
4168564,265,3
4544042,265,3
9946437,19,1
38615715,265,6
52228190,19,1
1741487,266,2
2410580,266,2
2081042441,266,2
1741510,26,6
2992658,26,3
32764516,26,3
39300814,26,2
71650584,26,3
2110544923,26,8
47809306,64,3
1999065,57,5
3043728,57,4
33570565,57,5
40338437,48,2
46417808,57,4
48265513,57,6
51118506,57,3
66118125,57,4
144313805,57,6
1397398770,26,8
2060080508,57,3
2064134067,57,3
1743286,267,2
2504744,267,2
145584543,267,2
121013333,2,2
1776175,96,4
2005305,96,3
144623952,96,1
145117064,96,3
1403414531,64,1
2056998156,268,0
1753785,269,1
2083538,159,1
2201619,4,11
2402674,159,2
2446790,270,0
2669225,159,1
2808802,271,1
2821871,272,1
3083123,269,1
3257664,273,4
3392831,272,1
24471440,159,1
32299748,273,2
34889030,274,3
35553282,159,2
39668442,273,2
46406992,275,0
48965462,273,2
49217285,276,1
80419976,277,1
104789438,278,1
117426820,279,0
117947193,278,1
119209307,277,1
123794140,159,7
144302305,271,1
145143682,276,1
2071765228,273,2
1970944,26,6
40127220,26,6
49131705,26,1
115431286,26,6
120911346,26,8
2067868031,26,6
1786743,37,6
2476503,37,2
2873070,37,13
3060418,37,1
3123952,9,2
47946265,37,5
48339410,37,1
145320204,37,12
2065755442,37,5
2066160846,37,1
1745130,240,3
34888070,240,3
39983873,240,3
3448663,51,1
1747099,280,2
1754713,281,1
1797885,282,1
2479192,283,0
2741769,284,2
3167922,281,1
3342684,285,3
3358077,286,0
48963272,280,2
49518964,287,0
51059811,288,2
88013307,288,2
95602865,289,0
108584238,284,2
115135764,288,2
117404266,280,2
145080228,284,2
1422322035,282,1
1755938,18,6
2206272,34,6
2392370,290,0
2740193,18,5
37424377,18,5
40365869,34,6
40457061,18,5
145173648,291,0
1410176686,34,6
2064615348,18,5
1746222,13,3
1842749,13,3
2216609,13,3
2633757,13,6
4671030,151,5
5183459,151,5
5336339,151,5
6131630,151,5
15983089,151,2
33455143,151,3
35133961,151,3
35248702,151,5
35540755,151,7
39624092,151,2
119505925,151,5
2064584591,151,5
2068693572,151,5
2082463515,151,3
2111395701,151,5
1747127,292,2
2779427,292,2
2056771333,292,2
2053998288,57,2
1747798,62,4
3440020,62,9
7993567,62,4
48181971,62,4
1759568,293,3
47338499,293,3
51894333,293,3
143623207,293,3
1747805,57,3
2983155,57,4
39653416,57,4
1748169,294,2
2047998,294,2
49545932,294,4
2066010806,43,3
2085689125,43,3
12454075,295,1
